date,total_tickers,insufficient_data,roic_null,passed_roic,passed_fcf,passed_debt,passed_growth,passed_margin,passed_all
2010-01-31,903,880,23,0,0,0,0,0,0
2011-01-31,903,653,224,6,1,1,0,0,0
2012-01-31,903,456,349,22,9,7,3,1,1
2013-01-31,903,363,330,47,28,27,7,1,1
2014-01-31,903,328,279,55,36,34,22,8,8
2015-01-31,903,299,238,64,39,35,27,12,12
2016-01-31,903,278,221,65,41,38,30,17,17
2017-01-31,903,262,209,72,48,46,39,20,20
2018-01-31,903,249,198,76,55,51,46,24,24
2019-01-31,903,229,197,82,62,55,42,21,21
2020-01-31,903,141,212,95,75,64,30,11,11
2021-01-31,903,113,213,100,83,65,35,12,12
