date,total_tickers,insufficient_data,passed_rev_growth,passed_rev_accel,passed_margin,passed_fcf,passed_leverage,passed_all
2010-01-31,903,880,4,0,0,0,0,0
2011-01-31,903,653,15,0,0,0,0,0
2012-01-31,903,456,38,9,3,2,2,2
2013-01-31,903,363,92,45,20,17,13,13
2014-01-31,903,328,68,34,15,10,8,8
2015-01-31,903,299,64,31,12,8,6,6
2016-01-31,903,278,70,37,16,12,10,10
2017-01-31,903,262,60,32,19,15,13,13
2018-01-31,903,249,71,40,25,21,19,19
2019-01-31,903,229,81,51,28,20,20,20
2020-01-31,903,141,100,54,19,12,12,12
2021-01-31,903,113,84,44,21,17,16,16
