date,total_tickers,insufficient_data,q1yoy_covered,q_accel_covered,passed_rev_growth,passed_rev_accel,passed_margin,passed_fcf,passed_leverage,passed_all
2010-01-31,503,480,0,0,4,0,0,0,0,0
2011-01-31,503,288,0,0,59,8,4,3,3,3
2012-01-31,503,191,0,0,172,92,43,29,26,26
2013-01-31,503,156,0,0,185,131,58,46,37,37
2014-01-31,503,139,0,0,160,89,33,26,22,22
2015-01-31,503,127,0,0,143,87,26,22,19,19
2016-01-31,503,114,0,0,168,112,49,39,34,34
2017-01-31,503,111,0,0,135,82,35,29,25,25
2018-01-31,503,107,0,0,148,104,50,43,38,38
2019-01-31,503,101,0,0,206,149,61,47,43,43
2020-01-31,503,59,0,0,221,103,33,28,27,27
2021-01-31,503,49,0,0,196,117,48,39,39,39
