date,after_5_filters,after_momentum,dropped_by_momentum
2015-01-31,6,4,2
2015-02-28,9,5,4
2015-03-31,10,7,3
2015-04-30,9,6,3
2015-05-31,8,6,2
2015-06-30,8,6,2
2015-07-31,9,7,2
2015-08-31,10,8,2
2015-09-30,10,7,3
2015-10-31,10,7,3
2015-11-30,11,6,5
2015-12-31,10,6,4
2016-01-31,10,5,5
2016-02-29,12,5,7
2016-03-31,15,6,9
2016-04-30,15,8,7
2016-05-31,16,8,8
2016-06-30,16,9,7
2016-07-31,15,8,7
2016-08-31,14,10,4
2016-09-30,14,11,3
2016-10-31,14,12,2
2016-11-30,13,8,5
2016-12-31,13,10,3
2017-01-31,13,11,2
2017-02-28,13,12,1
2017-03-31,15,14,1
2017-04-30,15,13,2
2017-05-31,16,15,1
2017-06-30,16,12,4
2017-07-31,16,12,4
2017-08-31,17,12,5
2017-09-30,18,12,6
2017-10-31,18,15,3
2017-11-30,18,14,4
2017-12-31,19,15,4
2018-01-31,19,16,3
2018-02-28,20,19,1
2018-03-31,21,18,3
2018-04-30,22,16,6
2018-05-31,21,18,3
2018-06-30,21,16,5
2018-07-31,21,15,6
2018-08-31,21,16,5
2018-09-30,21,16,5
2018-10-31,21,15,6
2018-11-30,21,13,8
2018-12-31,21,13,8
2019-01-31,20,10,10
2019-02-28,16,10,6
2019-03-31,15,10,5
2019-04-30,14,8,6
2019-05-31,13,9,4
2019-06-30,12,6,6
2019-07-31,12,8,4
2019-08-31,11,7,4
2019-09-30,11,6,5
2019-10-31,11,9,2
2019-11-30,12,9,3
2019-12-31,12,10,2
2020-01-31,12,11,1
2020-02-29,13,8,5
2020-03-31,16,10,6
2020-04-30,16,6,10
2020-05-31,17,12,5
2020-06-30,17,12,5
2020-07-31,17,12,5
2020-08-31,18,14,4
2020-09-30,18,15,3
2020-10-31,18,14,4
2020-11-30,17,13,4
2020-12-31,16,12,4
2021-01-31,16,12,4
2021-02-28,22,20,2
2021-03-31,25,25,0
2021-04-30,25,23,2
2021-05-31,27,24,3
2021-06-30,27,23,4
2021-07-31,27,22,5
2021-08-31,28,22,6
2021-09-30,28,24,4
2021-10-31,28,25,3
2021-11-30,29,25,4
2021-12-31,30,23,7
2022-01-31,30,20,10
2022-02-28,43,25,18
2022-03-31,51,29,22
2022-04-30,51,21,30
2022-05-31,51,17,34
2022-06-30,51,18,33
2022-07-31,51,8,43
2022-08-31,56,16,40
2022-09-30,57,13,44
2022-10-31,58,8,50
2022-11-30,60,12,48
2022-12-31,60,14,46
2023-01-31,61,17,44
2023-02-28,74,41,33
2023-03-31,70,35,35
2023-04-30,70,50,20
2023-05-31,70,44,26
2023-06-30,70,48,22
2023-07-31,70,47,23
2023-08-31,68,52,16
2023-09-30,68,55,13
2023-10-31,67,46,21
2023-11-30,65,34,31
2023-12-31,65,38,27
2024-01-31,63,39,24
2024-02-29,35,25,10
2024-03-31,32,23,9
2024-04-30,32,22,10
2024-05-31,30,22,8
2024-06-30,30,18,12
2024-07-31,30,20,10
2024-08-31,27,19,8
2024-09-30,27,23,4
2024-10-31,27,25,2
2024-11-30,30,22,8
2024-12-31,30,23,7
