date,ticker,entry_price,exit_price,return_pct
2012-01-31,BBY,14.5023,13.4625,-7.1699
2012-02-29,BBY,14.9565,11.419,-23.6514
2012-03-31,BBY,14.3388,12.8901,-10.1034
2012-04-30,BBY,13.4625,11.1251,-17.3623
2013-01-31,MKC,24.1071,27.9479,15.9323
2013-02-28,MO,14.7238,16.0496,9.0046
2013-02-28,SYK,54.3986,56.7691,4.3578
2013-02-28,PM,48.3033,48.3074,0.0086
2013-02-28,GWW,183.4211,209.284,14.1003
2013-02-28,CF,28.4607,27.1182,-4.717
2013-02-28,MKC,26.0093,26.8368,3.1814
2013-03-31,MO,15.2894,15.7478,2.998
2013-03-31,SYK,55.7858,55.5337,-0.4518
2013-03-31,PM,49.2639,46.4828,-5.6454
2013-03-31,GWW,182.2223,205.0079,12.5043
2013-03-31,CF,26.9784,24.3547,-9.725
2013-03-31,MKC,28.4375,27.3341,-3.88
2013-04-30,MO,16.2319,15.7793,-2.7887
2013-04-30,SYK,56.0765,60.4964,7.8818
2013-04-30,WSM,19.9161,21.9533,10.2286
2013-04-30,GWW,199.6282,213.1048,6.7509
2013-04-30,PM,50.7943,47.8565,-5.7836
2013-04-30,CF,26.4313,27.8354,5.312
2013-04-30,MKC,27.9479,27.9553,0.0264
2013-05-31,MO,16.0496,15.2482,-4.9935
2013-05-31,SYK,56.7691,57.4312,1.1663
2013-05-31,WSM,20.02,21.0395,5.0923
2013-05-31,GWW,209.284,201.8,-3.576
2013-05-31,PM,48.3074,44.7763,-7.3098
2013-05-31,CF,27.1182,27.0872,-0.1145
2013-05-31,MKC,26.8368,26.4093,-1.5928
2013-06-30,MO,15.7478,15.6722,-0.4801
2013-06-30,SYK,55.5337,58.2566,4.9032
2013-06-30,GWW,205.0079,213.5156,4.1499
2013-06-30,WSM,20.7361,20.9612,1.0855
2013-06-30,PM,46.4828,46.9585,1.0234
2013-06-30,CF,24.3547,30.0031,23.1922
2013-06-30,MKC,27.3341,25.2577,-7.5962
2013-07-31,MO,15.7793,16.9862,7.6486
2013-07-31,SYK,60.4964,63.6608,5.2308
2013-07-31,GWW,213.1048,219.4386,2.9721
2013-07-31,WSM,21.9533,19.6725,-10.3893
2013-07-31,PM,47.8565,48.3305,0.9904
2013-07-31,CF,27.8354,30.6819,10.2264
2013-07-31,MKC,27.9553,27.1373,-2.9258
2013-08-31,MO,15.2482,16.8721,10.6498
2013-08-31,SYK,57.4312,64.1435,11.6875
2013-08-31,GWW,201.8,211.1537,4.6351
2013-08-31,WSM,21.0395,22.1784,5.4133
2013-08-31,PM,44.7763,46.3891,3.6018
2013-08-31,CF,27.0872,31.0776,14.7318
2013-08-31,MKC,26.4093,27.0785,2.5336
2013-09-30,MO,15.6722,17.7362,13.1697
2013-09-30,SYK,58.2566,65.0271,11.6219
2013-09-30,GWW,213.5156,209.1069,-2.0648
2013-09-30,WSM,20.9612,21.8633,4.3039
2013-09-30,PM,46.9585,47.7765,1.7419
2013-09-30,CF,30.0031,33.3165,11.0433
2013-09-30,MKC,25.2577,27.193,7.6621
2013-10-31,MO,16.9862,16.2716,-4.2067
2013-10-31,SYK,63.6608,67.1561,5.4904
2013-10-31,GWW,219.4386,191.9638,-12.5205
