date,ticker,entry_price,exit_price,return_pct
2023-01-31,TSCO,43.0709,44.2621,2.7658
2023-01-31,BBY,75.6756,70.8904,-6.3233
2023-01-31,PM,90.0028,84.0107,-6.6577
2023-01-31,ORLY,52.8233,55.34,4.7643
2023-01-31,AZO,2438.8501,2486.54,1.9554
2023-01-31,GILD,75.1071,72.0559,-4.0624
2023-01-31,LOW,195.4347,193.0885,-1.2005
2023-01-31,ADBE,370.34,323.95,-12.5263
2023-01-31,LII,251.942,246.3447,-2.2216
2023-01-31,WSM,63.6447,58.9188,-7.4255
2023-01-31,LMT,424.7008,437.5226,3.019
2023-01-31,JKHY,172.4746,157.2948,-8.8011
2023-01-31,TEL,120.9046,121.5779,0.5568
2023-01-31,CL,68.9888,67.8503,-1.6503
2023-01-31,HSY,204.2156,217.6399,6.5736
2023-01-31,CTAS,107.4979,106.4945,-0.9333
2023-01-31,DPZ,336.4098,280.1923,-16.711
2023-01-31,CF,78.2513,79.7178,1.8741
2023-01-31,FICO,665.95,677.39,1.7178
2023-01-31,JNJ,148.3847,140.1603,-5.5426
2023-02-28,TSCO,44.2621,44.5999,0.7631
2023-02-28,BBY,70.8904,67.5613,-4.6962
2023-02-28,ORLY,55.34,56.5987,2.2744
2023-02-28,PM,84.0107,85.0968,1.2928
2023-02-28,AZO,2486.54,2458.1499,-1.1418
2023-02-28,GILD,72.0559,74.9461,4.011
2023-02-28,LII,246.3447,243.9676,-0.965
2023-02-28,ADBE,323.95,385.37,18.9597
2023-02-28,WSM,58.9188,57.3812,-2.6097
2023-02-28,LOW,193.0885,187.6642,-2.8092
2023-02-28,GWW,649.6245,669.4311,3.0489
2023-02-28,TXN,155.8474,169.0824,8.4923
2023-02-28,DPZ,280.1923,315.629,12.6473
2023-02-28,LMT,437.5226,436.1112,-0.3226
2023-02-28,CL,67.8503,69.5628,2.5239
2023-02-28,HSY,217.6399,232.3338,6.7514
2023-02-28,CTAS,106.4945,112.3746,5.5215
2023-02-28,TEL,121.5779,125.2352,3.0082
2023-02-28,JNJ,140.1603,141.7516,1.1353
2023-02-28,KO,54.0046,56.7232,5.0341
2023-03-31,TSCO,44.5999,45.2375,1.4295
2023-03-31,BBY,67.5613,64.3243,-4.7911
2023-03-31,ORLY,56.5987,61.154,8.0485
2023-03-31,LOW,187.6642,196.0158,4.4503
2023-03-31,PM,85.0968,87.4769,2.7969
2023-03-31,LII,243.9676,273.7062,12.1896
2023-03-31,AZO,2458.1499,2663.3101,8.3461
2023-03-31,GILD,74.9461,74.2596,-0.916
2023-03-31,WSM,57.3812,57.512,0.228
2023-03-31,ADBE,385.37,377.56,-2.0266
2023-03-31,GWW,669.4311,676.0009,0.9814
2023-03-31,CL,69.5628,74.3391,6.8662
2023-03-31,TGT,147.2656,140.2593,-4.7576
2023-03-31,LMT,436.1112,428.4726,-1.7515
2023-03-31,HSY,232.3338,249.3654,7.3307
2023-03-31,TXN,169.0824,151.9842,-10.1124
2023-03-31,DPZ,315.629,303.7643,-3.7591
2023-03-31,TEL,125.2352,116.8511,-6.6946
2023-03-31,CF,67.2808,66.4362,-1.2554
2023-03-31,CTAS,112.3746,110.6963,-1.4935
2023-04-30,TSCO,45.2375,39.9631,-11.6593
2023-04-30,ORLY,61.154,60.2207,-1.5262
2023-04-30,BBY,64.3243,62.7275,-2.4825
2023-04-30,PM,87.4769,78.7616,-9.963
2023-04-30,LOW,196.0158,189.6967,-3.2238
2023-04-30,LII,273.7062,267.4925,-2.2702
2023-04-30,AZO,2663.3101,2386.8401,-10.3807
2023-04-30,GILD,74.2596,69.4992,-6.4104
2023-04-30,ADBE,377.56,417.79,10.6553
2023-04-30,WSM,57.512,53.9342,-6.2211
2023-04-30,GWW,676.0009,632.5231,-6.4316
2023-04-30,TXN,151.9842,159.2732,4.7959
2023-04-30,DPZ,303.7643,277.3368,-8.7
2023-04-30,TEL,116.8511,117.5244,0.5762
2023-04-30,TGT,140.2593,117.2013,-16.4396
2023-04-30,LMT,428.4726,412.3775,-3.7564
2023-04-30,CL,74.3391,69.29,-6.792
2023-04-30,HSY,249.3654,238.0868,-4.5229
2023-04-30,CTAS,110.6963,114.951,3.8435
2023-04-30,CF,66.4362,57.4318,-13.5535
2023-05-31,TSCO,39.9631,42.1578,5.4917
2023-05-31,BBY,62.7275,71.5892,14.1273
2023-05-31,ORLY,60.2207,63.6867,5.7555
2023-05-31,LOW,189.6967,212.87,12.216
2023-05-31,PM,78.7616,86.5615,9.9033
