date,ticker,entry_price,exit_price,return_pct
2015-01-31,GAP,27.9643,28.2426,0.9954
2015-01-31,PM,46.0701,47.6318,3.3898
2015-01-31,MO,25.7061,27.2504,6.0075
2015-01-31,BBWI,45.7858,51.0706,11.5425
2015-01-31,WSM,30.1,30.9463,2.8115
2015-01-31,MAT,23.144,22.9609,-0.7912
2015-01-31,GWW,196.4259,198.2123,0.9094
2015-01-31,COR,69.4427,75.2967,8.43
2015-01-31,CF,44.5454,44.8948,0.7843
2015-01-31,IDXX,79.21,78.415,-1.0037
2015-01-31,BIIB,389.16,409.59,5.2498
2015-01-31,SYK,79.9698,83.2195,4.0637
2015-02-28,PM,47.6318,43.7995,-8.0457
2015-02-28,GAP,28.2426,29.4172,4.1587
2015-02-28,MO,27.2504,24.4586,-10.245
2015-02-28,MAT,22.9609,19.9337,-13.1839
2015-02-28,IDXX,78.415,77.24,-1.4984
2015-02-28,CF,44.8948,41.5888,-7.3637
2015-02-28,WSM,30.9463,30.6616,-0.9199
2015-02-28,BBWI,51.0706,52.4216,2.6453
2015-02-28,LMT,148.9583,151.1251,1.4546
2015-02-28,GWW,198.2123,197.2919,-0.4643
2015-02-28,COR,75.2967,83.2909,10.6169
2015-02-28,BA,132.7529,132.0752,-0.5105
2015-02-28,TER,17.9906,17.5529,-2.4327
2015-02-28,NEU,381.3517,387.9428,1.7283
2015-02-28,SYK,83.2195,81.3303,-2.2702
2015-03-31,GAP,29.4172,27.0583,-8.0185
2015-03-31,PM,43.7995,48.5323,10.8058
2015-03-31,MO,24.4586,24.4733,0.06
2015-03-31,BBWI,52.4216,49.6807,-5.2285
2015-03-31,IDXX,77.24,62.685,-18.8439
2015-03-31,MAT,19.9337,24.566,23.2385
2015-03-31,CROX,11.81,13.2,11.7697
2015-03-31,LMT,151.1251,138.9433,-8.0607
2015-03-31,CF,41.5888,42.1445,1.336
2015-03-31,WSM,30.6616,28.414,-7.3304
2015-03-31,GWW,197.2919,207.8505,5.3518
2015-03-31,BA,132.0752,126.1438,-4.4909
2015-03-31,TER,17.5529,16.9942,-3.183
2015-03-31,COR,83.2909,83.7525,0.5542
2015-03-31,NEU,387.9428,362.8539,-6.4672
2015-03-31,SYK,81.3303,81.3215,-0.0108
2015-04-30,GAP,27.0583,26.1641,-3.3047
2015-04-30,PM,48.5323,48.2998,-0.4792
2015-04-30,MO,24.4733,25.0356,2.2977
2015-04-30,IDXX,62.685,67.8,8.1598
2015-04-30,BBWI,49.6807,48.1018,-3.1782
2015-04-30,MAT,24.566,22.8498,-6.9863
2015-04-30,WSM,28.414,30.377,6.9087
2015-04-30,LMT,138.9433,141.2419,1.6543
2015-04-30,CROX,13.2,15.04,13.9394
2015-04-30,CF,42.1445,46.5397,10.4289
2015-04-30,GWW,207.8505,202.0341,-2.7984
2015-04-30,TER,16.9942,19.7506,16.2195
2015-04-30,BA,126.1438,124.4546,-1.3391
2015-04-30,NEU,362.8539,373.8232,3.0231
2015-04-30,COR,83.7525,82.6874,-1.2718
2015-04-30,SYK,81.3215,84.7511,4.2173
2015-05-31,GAP,26.1641,26.0549,-0.4175
2015-05-31,PM,48.2998,47.1812,-2.3159
2015-05-31,MO,25.0356,24.1712,-3.4527
2015-05-31,BBWI,48.1018,47.9407,-0.3349
2015-05-31,MAT,22.8498,22.7435,-0.465
2015-05-31,IDXX,67.8,64.14,-5.3982
2015-05-31,LMT,141.2419,139.5158,-1.2221
2015-05-31,CF,46.5397,47.3529,1.7475
2015-05-31,WSM,30.377,31.7913,4.6559
2015-05-31,CROX,15.04,14.71,-2.1941
2015-05-31,GWW,202.0341,198.9405,-1.5312
2015-05-31,BA,124.4546,122.8604,-1.281
2015-05-31,TER,19.7506,18.0137,-8.7943
2015-05-31,COR,82.6874,78.1181,-5.526
2015-05-31,NEU,373.8232,361.505,-3.2952
2015-05-31,SYK,84.7511,84.5598,-0.2257
2015-06-30,PM,47.1812,50.3356,6.6858
2015-06-30,GAP,26.0549,25.0505,-3.855
2015-06-30,MO,24.1712,26.8744,11.1838
2015-06-30,BBWI,47.9407,45.139,-5.8439
2015-06-30,MAT,22.7435,20.548,-9.6536
2015-06-30,IDXX,64.14,72.73,13.3926
2015-06-30,CF,47.3529,43.6107,-7.9029
2015-06-30,LMT,139.5158,155.4262,11.404
2015-06-30,CROX,14.71,15.73,6.9341
2015-06-30,WSM,31.7913,32.8543,3.3435
2015-06-30,GWW,198.9405,192.2657,-3.3552
2015-06-30,TER,18.0137,17.9856,-0.1556
2015-06-30,BA,122.8604,127.6873,3.9288
2015-06-30,COR,78.1181,77.6847,-0.5548
2015-06-30,NEU,361.505,323.8958,-10.4035
2015-06-30,SYK,84.5598,90.4879,7.0106
2015-07-31,GAP,25.0505,22.5304,-10.0603
2015-07-31,PM,50.3356,46.9634,-6.6994
2015-07-31,MO,26.8744,26.4791,-1.4711
2015-07-31,BBWI,45.139,47.2075,4.5824
2015-07-31,MAT,20.548,21.0978,2.6758
2015-07-31,CF,43.6107,42.4925,-2.5639
2015-07-31,WSM,32.8543,29.5052,-10.1937
2015-07-31,LMT,155.4262,152.0938,-2.144
2015-07-31,GWW,192.2657,188.8085,-1.7982
2015-07-31,BA,127.6873,116.478,-8.7787
2015-07-31,IDXX,72.73,71.47,-1.7324
2015-07-31,TER,17.9856,16.8464,-6.3344
2015-07-31,CROX,15.73,14.73,-6.3573
2015-07-31,COR,77.6847,73.6948,-5.136
2015-07-31,NEU,323.8958,312.1115,-3.6383
2015-07-31,SYK,90.4879,87.285,-3.5397
2015-08-31,PM,46.9634,47.2852,0.6852
2015-08-31,GAP,22.5304,19.5707,-13.1363
2015-08-31,MO,26.4791,27.1725,2.6188
2015-08-31,MAT,21.0978,18.9637,-10.1152
2015-08-31,BBWI,47.2075,50.7129,7.4255
2015-08-31,WSM,29.5052,29.6294,0.4209
2015-08-31,CROX,14.73,12.93,-12.22
2015-08-31,LMT,152.0938,156.7281,3.047
2015-08-31,IDXX,71.47,74.25,3.8897
2015-08-31,GWW,188.8085,181.685,-3.7728
2015-08-31,BA,116.478,116.7187,0.2066
2015-08-31,TER,16.8464,16.876,0.176
2015-08-31,COR,73.6948,69.9747,-5.048
2015-08-31,CF,42.4925,33.2505,-21.7497
2015-08-31,NEU,312.1115,291.7889,-6.5113
2015-08-31,SYK,87.285,83.5566,-4.2714
2015-08-31,RMD,45.6882,44.8262,-1.8867
2015-09-30,GAP,19.5707,18.8468,-3.699
2015-09-30,PM,47.2852,52.6914,11.4333
2015-09-30,MO,27.1725,30.2045,11.1581
2015-09-30,MAT,18.9637,22.1333,16.7141
2015-09-30,CROX,12.93,10.8,-16.4733
2015-09-30,BBWI,50.7129,54.0045,6.4906
2015-09-30,WSM,29.6294,28.7566,-2.9457
2015-09-30,IDXX,74.25,68.62,-7.5825
2015-09-30,GWW,181.685,177.4516,-2.3301
2015-09-30,LMT,156.7281,166.1934,6.0393
